"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"hsa04974"	"hsa04974"	"Protein digestion and absorption"	"9/18"	"103/8112"	2.66044438228252e-13	9.04551089976056e-12	5.60093554164741e-12	"1301/1278/1290/1303/1300/1277/1281/1289/1293"	9
"hsa04512"	"hsa04512"	"ECM-receptor interaction"	"6/18"	"88/8112"	2.29412697503577e-08	3.9000158575608e-07	2.41487050003765e-07	"6382/1278/2335/1277/7058/1293"	6
"hsa04933"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"5/18"	"100/8112"	1.94238556817771e-06	2.20137031060141e-05	1.36307759170366e-05	"1278/2335/1277/1281/4313"	5
"hsa04510"	"hsa04510"	"Focal adhesion"	"5/18"	"201/8112"	5.85355198535751e-05	0.00036442706424286	0.000225651432967715	"1278/2335/1277/7058/1293"	5
"hsa05146"	"hsa05146"	"Amoebiasis"	"4/18"	"102/8112"	6.29693336017385e-05	0.00036442706424286	0.000225651432967715	"1278/2335/1277/1281"	4
"hsa05205"	"hsa05205"	"Proteoglycans in cancer"	"5/18"	"205/8112"	6.43106583957988e-05	0.00036442706424286	0.000225651432967715	"6382/1278/2335/1277/4313"	5
"hsa04926"	"hsa04926"	"Relaxin signaling pathway"	"4/18"	"129/8112"	0.000157129917500484	0.000763202456430922	0.000472571180452583	"1278/1277/1281/4313"	4
"hsa05165"	"hsa05165"	"Human papillomavirus infection"	"5/18"	"331/8112"	0.000605859226201577	0.0025749017113567	0.00159436638474099	"1278/2335/1277/7058/1293"	5
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	"5/18"	"354/8112"	0.000823105191488418	0.00300680433072767	0.0018617983471998	"1278/2335/1277/7058/1293"	5
"hsa05415"	"hsa05415"	"Diabetic cardiomyopathy"	"4/18"	"203/8112"	0.000884354214919903	0.00300680433072767	0.0018617983471998	"1278/1277/1281/4313"	4
"hsa04611"	"hsa04611"	"Platelet activation"	"3/18"	"124/8112"	0.00240536878876221	0.00743477625617411	0.00460357662920997	"1278/1277/1281"	3
"hsa05144"	"hsa05144"	"Malaria"	"2/18"	"50/8112"	0.00534892890846406	0.0151552985739815	0.00938408580432292	"6382/7058"	2
"hsa04912"	"hsa04912"	"GnRH signaling pathway"	"2/18"	"93/8112"	0.0176572039377644	0.0461803795295376	0.0285946622473917	"4323/4313"	2
