"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PRSS1"	0	3.11268619572874	0.837	0.269	0	"2"	"PRSS1"
"CLPS"	0	2.66732562761293	0.767	0.183	0	"2"	"CLPS"
"DPT"	0	2.61575294137049	0.886	0.4	0	"2"	"DPT"
"CTRB1"	0	2.45412019442661	0.746	0.195	0	"2"	"CTRB1"
"PTN"	0	2.29053881145462	0.836	0.317	0	"2"	"PTN"
"FXYD2"	0	2.18483579577155	0.894	0.321	0	"2"	"FXYD2"
"PNLIP"	0	2.12154310861761	0.618	0.108	0	"2"	"PNLIP"
"SYCN"	0	2.11730854360464	0.579	0.109	0	"2"	"SYCN"
"AMY2A"	0	2.09264130573335	0.497	0.068	0	"2"	"AMY2A"
"C7"	0	2.0488289922674	0.98	0.534	0	"2"	"C7"
"ADH1B"	0	2.02303668958442	0.779	0.191	0	"2"	"ADH1B"
"SEPP1"	0	1.89581842007427	0.977	0.687	0	"2"	"SEPP1"
"INS"	0	1.78464220834419	0.999	0.909	0	"2"	"INS"
"VCAN"	0	-2.14289255791083	0.375	0.941	0	"2"	"VCAN"
"SPARC"	0	-2.48607017053431	0.869	0.996	0	"2"	"SPARC"
"COL1A2"	0	-2.61480394118646	0.935	0.999	0	"2"	"COL1A2"
"CTHRC1"	0	-2.82760352771176	0.301	0.924	0	"2"	"CTHRC1"
"COL3A1"	0	-2.95462707676256	0.791	0.994	0	"2"	"COL3A1"
"FN1"	0	-3.10215308507762	0.423	0.954	0	"2"	"FN1"
"COL1A1"	0	-3.8181849110874	0.619	0.994	0	"2"	"COL1A1"
"CPA1"	6.44639500326716e-301	2.50787073780807	0.648	0.165	1.50690929596373e-296	"2"	"CPA1"
"SLC4A4"	1.12584214508335e-292	1.53302607407248	0.594	0.13	2.63176859834685e-288	"2"	"SLC4A4"
"ALDH1A1"	1.17975349506599e-288	1.90643600866768	0.93	0.574	2.75779177006626e-284	"2"	"ALDH1A1"
"FMO2"	1.83380550256688e-287	1.74561521452641	0.698	0.2	4.28670374280034e-283	"2"	"FMO2"
"TMSB10"	9.484399756561e-285	-1.15467425792586	0.996	1	2.2170732870937e-280	"2"	"TMSB10"
"CXCL12"	3.53380458473478e-281	1.8732935405922	0.895	0.475	8.26062159727602e-277	"2"	"CXCL12"
