"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"15/75"	"395/18866"	3.63499519633184e-11	3.10750281409369e-08	2.60494972741251e-08	"MATN3/COL10A1/COL11A1/SPP1/COL8A1/SFRP2/GREM1/LOXL1/COMP/COL12A1/TGFBI/MFAP5/CTSK/LUM/VCAN"	15
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"15/75"	"396/18866"	3.76667007768932e-11	3.10750281409369e-08	2.60494972741251e-08	"MATN3/COL10A1/COL11A1/SPP1/COL8A1/SFRP2/GREM1/LOXL1/COMP/COL12A1/TGFBI/MFAP5/CTSK/LUM/VCAN"	15
"GO:0030199"	"GO:0030199"	"collagen fibril organization"	"7/75"	"55/18866"	2.05282628484593e-09	1.12905445666526e-06	9.46460960802649e-07	"COL11A1/SFRP2/GREM1/LOXL1/COMP/COL12A1/LUM"	7
"GO:0001503"	"GO:0001503"	"ossification"	"13/75"	"412/18866"	7.89834366772861e-09	3.25806676293805e-06	2.73116409984089e-06	"IGFBP3/CTHRC1/COL11A1/SPP1/ID3/SFRP2/GREM1/COMP/CDH11/PDLIM7/CTSK/IGFBP5/VCAN"	13
"GO:0001649"	"GO:0001649"	"osteoblast differentiation"	"9/75"	"231/18866"	3.29595760084558e-07	0.000108766600827904	9.11765955265494e-05	"IGFBP3/CTHRC1/SPP1/ID3/SFRP2/GREM1/PDLIM7/IGFBP5/VCAN"	9
"GO:0061448"	"GO:0061448"	"connective tissue development"	"9/75"	"262/18866"	9.45729949951666e-07	0.000242756850328093	0.000203497608504698	"MATN3/ACTA2/COL11A1/SFRP2/GREM1/COMP/TGFBI/CTSK/LUM"	9
"GO:0051216"	"GO:0051216"	"cartilage development"	"8/75"	"197/18866"	1.13700464973519e-06	0.000242756850328093	0.000203497608504698	"MATN3/COL11A1/SFRP2/GREM1/COMP/TGFBI/CTSK/LUM"	8
"GO:0034109"	"GO:0034109"	"homotypic cell-cell adhesion"	"6/75"	"86/18866"	1.17700291068166e-06	0.000242756850328093	0.000203497608504698	"ACTB/MYL9/CD99/MYL12A/CD9/COMP"	6
"GO:0001706"	"GO:0001706"	"endoderm formation"	"5/75"	"55/18866"	2.58387913405441e-06	0.000473711174576642	0.000397101424812573	"INHBA/COL11A1/COL8A1/COL12A1/DUSP1"	5
"GO:0051271"	"GO:0051271"	"negative regulation of cellular component movement"	"10/75"	"400/18866"	3.98444242490941e-06	0.000657433000110053	0.000551111299613786	"IGFBP3/TPM1/NBL1/SFRP2/GREM1/CD9/DPEP1/SEMA3C/IGFBP5/DUSP1"	10
