"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP615"	"WP615"	"Senescence and autophagy in cancer"	"8/41"	"108/7866"	6.38077805874482e-08	8.8692815016553e-06	7.32110324634932e-06	"1300/3486/3630/3624/4323/5328/2335/3488"	8
"WP129"	"WP129"	"Matrix metalloproteinases"	"4/41"	"30/7866"	1.57860337897872e-05	0.00109712934839021	0.000905619833203584	"4320/4323/7078/4316"	4
"WP306"	"WP306"	"Focal adhesion"	"7/41"	"202/7866"	7.10897890393946e-05	0.00329382689215862	0.0027188726334365	"10398/56034/4638/7058/5159/2335/6696"	7
"WP3932"	"WP3932"	"Focal adhesion: PI3K-Akt-mTOR-signaling pathway"	"8/41"	"309/7866"	0.000159267853770112	0.00553455791851138	0.00456847264761636	"1301/3630/56034/7058/5159/54541/2335/6696"	8
"WP474"	"WP474"	"Endochondral ossification"	"4/41"	"65/7866"	0.000341868579737307	0.00791995543058094	0.00653748687567832	"1300/5328/7078/6696"	4
"WP4808"	"WP4808"	"Endochondral ossification with skeletal dysplasias"	"4/41"	"65/7866"	0.000341868579737307	0.00791995543058094	0.00653748687567832	"1300/5328/7078/6696"	4
"WP3888"	"WP3888"	"VEGFA-VEGFR2 signaling pathway"	"8/41"	"439/7866"	0.00165260977745306	0.030793764549406	0.0254185561218119	"3486/5654/4323/2597/4627/5328/2335/3303"	8
"WP4172"	"WP4172"	"PI3K-Akt signaling pathway"	"7/41"	"345/7866"	0.00181874022029777	0.030793764549406	0.0254185561218119	"3630/56034/7058/5159/54541/2335/6696"	7
"WP1434"	"WP1434"	"Osteopontin signaling"	"2/41"	"13/7866"	0.00199384087010543	0.030793764549406	0.0254185561218119	"5328/6696"	2
"WP2877"	"WP2877"	"Vitamin D receptor pathway"	"5/41"	"187/7866"	0.00269335215940452	0.0374375950157229	0.0309026721447466	"3486/1469/7078/6696/3488"	5
"WP1946"	"WP1946"	"Cori cycle"	"2/41"	"17/7866"	0.00343087591238152	0.0404290838383633	0.0333719813584369	"3630/2597"	2
"WP558"	"WP558"	"Complement and coagulation cascades"	"3/41"	"59/7866"	0.00349028061913928	0.0404290838383633	0.0333719813584369	"5328/1604/5265"	3
"WP3624"	"WP3624"	"Lung fibrosis"	"3/41"	"63/7866"	0.00420255966579246	0.0425487587433717	0.0351216562137638	"5328/6696/5265"	3
"WP3967"	"WP3967"	"miR-509-3p alteration of YAP1/ECM axis"	"2/41"	"19/7866"	0.00428548649213815	0.0425487587433717	0.0351216562137638	"7058/2335"	2
"WP2324"	"WP2324"	"AGE/RAGE pathway"	"3/41"	"66/7866"	0.0047907274071435	0.0443940739728631	0.0366448622721854	"3630/4323/4316"	3
