"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"11/65"	"395/18866"	9.57884844780897e-08	9.69371865821326e-05	7.17325354333064e-05	"TIMP1/CST3/MFAP4/COL14A1/CTRB2/PRSS1/A2M/CTRB1/CYP1B1/FBLN5/DPT"	11
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"11/65"	"396/18866"	9.82637471689129e-08	9.69371865821326e-05	7.17325354333064e-05	"TIMP1/CST3/MFAP4/COL14A1/CTRB2/PRSS1/A2M/CTRB1/CYP1B1/FBLN5/DPT"	11
"GO:0009636"	"GO:0009636"	"response to toxic substance"	"9/65"	"250/18866"	1.82733518354362e-07	0.000120177743904386	8.89303122657896e-05	"MT2A/SOD3/CST3/MT1X/CYP1B1/FBLN5/GPX3/MT1M/APOE"	9
"GO:0010466"	"GO:0010466"	"negative regulation of peptidase activity"	"9/65"	"272/18866"	3.72352130705732e-07	0.00012312662347345	9.11124532545549e-05	"TIMP1/CST3/C3/SPINK1/TFPI/A2M/RARRES1/GPC3/CST1"	9
"GO:0022617"	"GO:0022617"	"extracellular matrix disassembly"	"6/65"	"82/18866"	3.76924526320767e-07	0.00012312662347345	9.11124532545549e-05	"TIMP1/CST3/CTRB2/PRSS1/A2M/CTRB1"	6
"GO:0098754"	"GO:0098754"	"detoxification"	"7/65"	"138/18866"	4.70022516137984e-07	0.00012312662347345	9.11124532545549e-05	"MT2A/SOD3/MT1X/FBLN5/GPX3/MT1M/APOE"	7
"GO:0045861"	"GO:0045861"	"negative regulation of proteolysis"	"10/65"	"369/18866"	4.99017469157686e-07	0.00012312662347345	9.11124532545549e-05	"TIMP1/CST3/C3/INS/SPINK1/TFPI/A2M/RARRES1/GPC3/CST1"	10
"GO:0052547"	"GO:0052547"	"regulation of peptidase activity"	"11/65"	"466/18866"	4.9924631920304e-07	0.00012312662347345	9.11124532545549e-05	"TIMP1/CST3/C3/SPINK1/TFPI/GSN/A2M/RARRES1/MYC/GPC3/CST1"	11
"GO:0009235"	"GO:0009235"	"cobalamin metabolic process"	"4/65"	"22/18866"	8.95815504460426e-07	0.000196382665588936	0.000145321181834691	"CTRB2/PRSS1/CTRB1/CTRC"	4
"GO:0001523"	"GO:0001523"	"retinoid metabolic process"	"6/65"	"108/18866"	1.92104948524157e-06	0.000375713858740414	0.000278024446913839	"ALDH1A1/GPC3/CYP1B1/ADH1B/CLPS/APOE"	6
"GO:0052548"	"GO:0052548"	"regulation of endopeptidase activity"	"10/65"	"434/18866"	2.16341779826162e-06	0.000375713858740414	0.000278024446913839	"TIMP1/CST3/C3/SPINK1/TFPI/GSN/A2M/RARRES1/MYC/CST1"	10
"GO:0006956"	"GO:0006956"	"complement activation"	"7/65"	"178/18866"	2.59631338032197e-06	0.000375713858740414	0.000278024446913839	"C7/MFAP4/C3/A2M/CFD/CLU/COLEC11"	7
"GO:0016101"	"GO:0016101"	"diterpenoid metabolic process"	"6/65"	"114/18866"	2.63463684416013e-06	0.000375713858740414	0.000278024446913839	"ALDH1A1/GPC3/CYP1B1/ADH1B/CLPS/APOE"	6
"GO:0010951"	"GO:0010951"	"negative regulation of endopeptidase activity"	"8/65"	"258/18866"	2.825394295611e-06	0.000375713858740414	0.000278024446913839	"TIMP1/CST3/C3/SPINK1/TFPI/A2M/RARRES1/CST1"	8
"GO:0007263"	"GO:0007263"	"nitric oxide mediated signal transduction"	"4/65"	"29/18866"	2.85641555048464e-06	0.000375713858740414	0.000278024446913839	"INS/SPINK1/MT1M/APOE"	4
"GO:0006721"	"GO:0006721"	"terpenoid metabolic process"	"6/65"	"124/18866"	4.29469275012115e-06	0.000529589299749314	0.000391890713448555	"ALDH1A1/GPC3/CYP1B1/ADH1B/CLPS/APOE"	6
"GO:0006959"	"GO:0006959"	"humoral immune response"	"9/65"	"377/18866"	5.50098402938916e-06	0.000638437734704989	0.000472437451935775	"C7/MFAP4/REG1A/C3/A2M/CCL2/CFD/CLU/COLEC11"	9
"GO:0072593"	"GO:0072593"	"reactive oxygen species metabolic process"	"8/65"	"288/18866"	6.35484539213048e-06	0.000696561664370746	0.000515448570695028	"SOD3/INS/CYP1B1/FBLN5/GPX3/PDK4/CLU/DDIT4"	8
"GO:0001867"	"GO:0001867"	"complement activation, lectin pathway"	"3/65"	"12/18866"	8.39930966403588e-06	0.000855607774207526	0.000633141079748093	"MFAP4/A2M/COLEC11"	3
"GO:0071276"	"GO:0071276"	"cellular response to cadmium ion"	"4/65"	"38/18866"	8.67316547600128e-06	0.000855607774207526	0.000633141079748093	"MT2A/MT1X/GSN/MT1M"	4
"GO:0006720"	"GO:0006720"	"isoprenoid metabolic process"	"6/65"	"144/18866"	1.01576902894857e-05	0.000954339187674057	0.000706201324888051	"ALDH1A1/GPC3/CYP1B1/ADH1B/CLPS/APOE"	6
"GO:1902430"	"GO:1902430"	"negative regulation of amyloid-beta formation"	"3/65"	"14/18866"	1.38286874785732e-05	0.00122792126471621	0.000908649288639466	"CLU/IGF1/APOE"	3
"GO:0046688"	"GO:0046688"	"response to copper ion"	"4/65"	"43/18866"	1.43143381087039e-05	0.00122792126471621	0.000908649288639466	"MT2A/SOD3/MT1X/MT1M"	4
"GO:0010828"	"GO:0010828"	"positive regulation of glucose transmembrane transport"	"4/65"	"45/18866"	1.71928670736316e-05	0.00130850155806001	0.00096827788888374	"C3/INS/GPC3/IGF1"	4
"GO:0010273"	"GO:0010273"	"detoxification of copper ion"	"3/65"	"15/18866"	1.72433048705323e-05	0.00130850155806001	0.00096827788888374	"MT2A/MT1X/MT1M"	3
"GO:1990169"	"GO:1990169"	"stress response to copper ion"	"3/65"	"15/18866"	1.72433048705323e-05	0.00130850155806001	0.00096827788888374	"MT2A/MT1X/MT1M"	3
"GO:0045807"	"GO:0045807"	"positive regulation of endocytosis"	"5/65"	"100/18866"	2.42860329053055e-05	0.00163208538790464	0.00120772664284885	"C3/GPC3/CLU/SFRP4/APOE"	5
"GO:0006957"	"GO:0006957"	"complement activation, alternative pathway"	"3/65"	"17/18866"	2.56435109098043e-05	0.00163208538790464	0.00120772664284885	"C7/C3/CFD"	3
"GO:0061687"	"GO:0061687"	"detoxification of inorganic compound"	"3/65"	"17/18866"	2.56435109098043e-05	0.00163208538790464	0.00120772664284885	"MT2A/MT1X/MT1M"	3
"GO:0097501"	"GO:0097501"	"stress response to metal ion"	"3/65"	"17/18866"	2.56435109098043e-05	0.00163208538790464	0.00120772664284885	"MT2A/MT1X/MT1M"	3
"GO:1902992"	"GO:1902992"	"negative regulation of amyloid precursor protein catabolic process"	"3/65"	"17/18866"	2.56435109098043e-05	0.00163208538790464	0.00120772664284885	"CLU/IGF1/APOE"	3
"GO:1990000"	"GO:1990000"	"amyloid fibril formation"	"3/65"	"18/18866"	3.06964859730858e-05	0.00189263021327807	0.00140052717252204	"GSN/CLU/APOE"	3
"GO:0051346"	"GO:0051346"	"negative regulation of hydrolase activity"	"9/65"	"473/18866"	3.33605020657491e-05	0.00199455365380979	0.00147594948533314	"TIMP1/CST3/C3/SPINK1/TFPI/A2M/RARRES1/GPC3/CST1"	9
"GO:0010038"	"GO:0010038"	"response to metal ion"	"8/65"	"366/18866"	3.57688193443206e-05	0.00207564354606896	0.00153595518360906	"MT2A/SOD3/MT1X/GSN/JUNB/FOSB/IGFBP2/MT1M"	8
"GO:0090090"	"GO:0090090"	"negative regulation of canonical Wnt signaling pathway"	"6/65"	"184/18866"	4.06481243486081e-05	0.00229139283828011	0.00169560747282765	"FRZB/GPC3/IGFBP2/IGFBP6/SFRP4/APOE"	6
"GO:0071248"	"GO:0071248"	"cellular response to metal ion"	"6/65"	"193/18866"	5.3050769595728e-05	0.00290747690034365	0.00215150343360452	"MT2A/MT1X/GSN/JUNB/FOSB/MT1M"	6
"GO:0033013"	"GO:0033013"	"tetrapyrrole metabolic process"	"4/65"	"61/18866"	5.77807211860005e-05	0.00300099199124415	0.00222070365292269	"CTRB2/PRSS1/CTRB1/CTRC"	4
"GO:0007565"	"GO:0007565"	"female pregnancy"	"6/65"	"196/18866"	5.77991361719603e-05	0.00300099199124415	0.00222070365292269	"TIMP1/CST3/IGFBP7/JUNB/FOSB/IGFBP2"	6
"GO:0050678"	"GO:0050678"	"regulation of epithelial cell proliferation"	"8/65"	"395/18866"	6.12197923058252e-05	0.00309709359536905	0.00229181786580782	"REG1A/ZFP36/CCL2/MYC/GPC3/THBS4/IGF1/APOE"	8
"GO:0046686"	"GO:0046686"	"response to cadmium ion"	"4/65"	"64/18866"	6.9807437647714e-05	0.00344325186197349	0.00254797147414156	"MT2A/MT1X/GSN/MT1M"	4
"GO:0071294"	"GO:0071294"	"cellular response to zinc ion"	"3/65"	"24/18866"	7.50224764646375e-05	0.00361022795279829	0.00267153208874075	"MT2A/MT1X/MT1M"	3
"GO:0002576"	"GO:0002576"	"platelet degranulation"	"5/65"	"129/18866"	8.22292985090022e-05	0.00386281918948241	0.00285844704340817	"TIMP1/A2M/CFD/CLU/IGF1"	5
"GO:0034764"	"GO:0034764"	"positive regulation of transmembrane transport"	"6/65"	"210/18866"	8.46594534094124e-05	0.0038844907343435	0.00287448376692423	"C3/INS/FXYD1/CCL2/GPC3/IGF1"	6
"GO:0043567"	"GO:0043567"	"regulation of insulin-like growth factor receptor signaling pathway"	"3/65"	"26/18866"	9.58994465673435e-05	0.00430021836539474	0.00318211799973458	"IGFBP2/IGFBP6/IGF1"	3
"GO:0030178"	"GO:0030178"	"negative regulation of Wnt signaling pathway"	"6/65"	"219/18866"	0.000106624411434753	0.00467488808357261	0.00345936979321642	"FRZB/GPC3/IGFBP2/IGFBP6/SFRP4/APOE"	6
"GO:0045600"	"GO:0045600"	"positive regulation of fat cell differentiation"	"4/65"	"72/18866"	0.000110722306600099	0.00470460664565166	0.00348136122790239	"INS/ZFP36/FRZB/ADIRF"	4
"GO:0071241"	"GO:0071241"	"cellular response to inorganic substance"	"6/65"	"221/18866"	0.000112071217610557	0.00470460664565166	0.00348136122790239	"MT2A/MT1X/GSN/JUNB/FOSB/MT1M"	6
"GO:0071280"	"GO:0071280"	"cellular response to copper ion"	"3/65"	"28/18866"	0.000120240022257865	0.00494236591489098	0.00365730067701005	"MT2A/MT1X/MT1M"	3
"GO:0044706"	"GO:0044706"	"multi-multicellular organism process"	"6/65"	"226/18866"	0.000126660532647224	0.00510002512067291	0.00377396689112137	"TIMP1/CST3/IGFBP7/JUNB/FOSB/IGFBP2"	6
"GO:0051384"	"GO:0051384"	"response to glucocorticoid"	"5/65"	"147/18866"	0.000152132693362608	0.00586312956317256	0.00433865644309779	"IGFBP7/ZFP36/FOSB/IGFBP2/DDIT4"	5
"GO:0000302"	"GO:0000302"	"response to reactive oxygen species"	"6/65"	"235/18866"	0.000156696017178161	0.00586312956317256	0.00433865644309779	"SOD3/APOD/CST3/CYP1B1/FBLN5/APOE"	6
"GO:0050673"	"GO:0050673"	"epithelial cell proliferation"	"8/65"	"453/18866"	0.00015806963647314	0.00586312956317256	0.00433865644309779	"REG1A/ZFP36/CCL2/MYC/GPC3/THBS4/IGF1/APOE"	8
"GO:0010827"	"GO:0010827"	"regulation of glucose transmembrane transport"	"4/65"	"79/18866"	0.000158812644279706	0.00586312956317256	0.00433865644309779	"C3/INS/GPC3/IGF1"	4
"GO:0009896"	"GO:0009896"	"positive regulation of catabolic process"	"8/65"	"454/18866"	0.000160470854744713	0.00586312956317256	0.00433865644309779	"INS/ZFP36/GPC3/CTSC/CLU/BTG2/IGF1/APOE"	8
"GO:0006979"	"GO:0006979"	"response to oxidative stress"	"8/65"	"458/18866"	0.000170379175773291	0.00611196570546735	0.00452279266598192	"SOD3/APOD/CST3/INS/CYP1B1/FBLN5/GPX3/APOE"	8
"GO:1902003"	"GO:1902003"	"regulation of amyloid-beta formation"	"3/65"	"33/18866"	0.000197805278685202	0.006969103836534	0.00515706619429277	"CLU/IGF1/APOE"	3
"GO:0006767"	"GO:0006767"	"water-soluble vitamin metabolic process"	"4/65"	"85/18866"	0.000210733674625613	0.00721658929270051	0.00534020292313368	"CTRB2/PRSS1/CTRB1/CTRC"	4
"GO:0031667"	"GO:0031667"	"response to nutrient levels"	"8/65"	"473/18866"	0.000212145047631338	0.00721658929270051	0.00534020292313368	"CST3/REG1A/ZFP36/GSN/CLPS/PDK4/IGFBP2/APOE"	8
"GO:0043687"	"GO:0043687"	"post-translational protein modification"	"7/65"	"363/18866"	0.000245943421658498	0.00822451476156298	0.0060860575529052	"TIMP1/CST3/IGFBP7/SPARCL1/C3/GPC3/APOE"	7
"GO:0031960"	"GO:0031960"	"response to corticosteroid"	"5/65"	"164/18866"	0.000253210784211686	0.00832641462082762	0.0061614624158177	"IGFBP7/ZFP36/FOSB/IGFBP2/DDIT4"	5
"GO:0006882"	"GO:0006882"	"cellular zinc ion homeostasis"	"3/65"	"37/18866"	0.000278941835524861	0.0088766490562992	0.00656863032042414	"MT2A/MT1X/MT1M"	3
"GO:0097242"	"GO:0097242"	"amyloid-beta clearance"	"3/65"	"37/18866"	0.000278941835524861	0.0088766490562992	0.00656863032042414	"C3/CLU/APOE"	3
"GO:0048009"	"GO:0048009"	"insulin-like growth factor receptor signaling pathway"	"3/65"	"38/18866"	0.000302107721529048	0.00941304165236776	0.00696555540418496	"IGFBP2/IGFBP6/IGF1"	3
