"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0030198"	"GO:0030198"	"extracellular matrix organization"	"19/31"	"395/18866"	9.12468431481276e-25	3.86977171900751e-22	2.55598522868266e-22	"COL11A1/MMP11/MMP14/COL1A2/COL5A2/COL12A1/FN1/COL10A1/AEBP1/COL1A1/COL3A1/SPARC/ANTXR1/MMP2/HTRA1/COL5A1/COL6A3/POSTN/MFAP2"	19
"GO:0043062"	"GO:0043062"	"extracellular structure organization"	"19/31"	"396/18866"	9.57864286883046e-25	3.86977171900751e-22	2.55598522868266e-22	"COL11A1/MMP11/MMP14/COL1A2/COL5A2/COL12A1/FN1/COL10A1/AEBP1/COL1A1/COL3A1/SPARC/ANTXR1/MMP2/HTRA1/COL5A1/COL6A3/POSTN/MFAP2"	19
"GO:0030199"	"GO:0030199"	"collagen fibril organization"	"9/31"	"55/18866"	1.46658814332546e-16	3.95001073268991e-14	2.60898311812635e-14	"COL11A1/MMP11/COL1A2/COL5A2/COL12A1/AEBP1/COL1A1/COL3A1/COL5A1"	9
"GO:0035987"	"GO:0035987"	"endodermal cell differentiation"	"8/31"	"46/18866"	4.96992106637515e-15	1.00392405540778e-12	6.63092100171632e-13	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA"	8
"GO:0001706"	"GO:0001706"	"endoderm formation"	"8/31"	"55/18866"	2.29650598067526e-14	3.71115366477122e-12	2.45121796253128e-12	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA"	8
"GO:0007492"	"GO:0007492"	"endoderm development"	"8/31"	"79/18866"	4.79402338453825e-13	6.45595149117818e-11	4.26415764203666e-11	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA"	8
"GO:0001704"	"GO:0001704"	"formation of primary germ layer"	"8/31"	"127/18866"	2.33764382349774e-11	2.69830887055167e-09	1.78223371205015e-09	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA"	8
"GO:0007369"	"GO:0007369"	"gastrulation"	"8/31"	"189/18866"	5.66462281778359e-10	5.72126904596143e-08	3.77889969554774e-08	"COL11A1/MMP14/COL5A2/COL12A1/FN1/MMP2/COL5A1/INHBA"	8
"GO:0032963"	"GO:0032963"	"collagen metabolic process"	"6/31"	"113/18866"	2.63197118329941e-08	2.3629252401177e-06	1.56071273676351e-06	"MMP11/MMP14/COL1A2/COL1A1/MMP2/COL5A1"	6
"GO:0071230"	"GO:0071230"	"cellular response to amino acid stimulus"	"5/31"	"69/18866"	8.91214841575744e-08	7.20101591993201e-06	4.75627289135687e-06	"COL1A2/COL5A2/COL1A1/COL3A1/MMP2"	5
"GO:0071229"	"GO:0071229"	"cellular response to acid chemical"	"5/31"	"76/18866"	1.45330608568741e-07	1.06751937930493e-05	7.05096828175614e-06	"COL1A2/COL5A2/COL1A1/COL3A1/MMP2"	5
"GO:0001503"	"GO:0001503"	"ossification"	"8/31"	"412/18866"	2.45512279900477e-07	1.65311601799654e-05	1.09188356061002e-05	"COL11A1/MMP14/COL1A2/COL5A2/COL1A1/SPARC/MMP2/CTHRC1"	8
"GO:0043200"	"GO:0043200"	"response to amino acid"	"5/31"	"114/18866"	1.10540805316224e-06	6.87053620734687e-05	4.53799095508711e-05	"COL1A2/COL5A2/COL1A1/COL3A1/MMP2"	5
"GO:0001101"	"GO:0001101"	"response to acid chemical"	"5/31"	"132/18866"	2.28137140708504e-06	0.000122889873128314	8.11687932204994e-05	"COL1A2/COL5A2/COL1A1/COL3A1/MMP2"	5
"GO:0042476"	"GO:0042476"	"odontogenesis"	"5/31"	"132/18866"	2.28137140708504e-06	0.000122889873128314	8.11687932204994e-05	"SDC1/COL1A2/COL1A1/HTRA1/INHBA"	5
"GO:0071559"	"GO:0071559"	"response to transforming growth factor beta"	"6/31"	"258/18866"	3.41062080103921e-06	0.00017223635045248	0.000113762154350453	"COL1A2/COL1A1/COL3A1/HTRA1/POSTN/MXRA5"	6
"GO:0090596"	"GO:0090596"	"sensory organ morphogenesis"	"6/31"	"269/18866"	4.33725130841002e-06	0.000206147003364429	0.000136160149434296	"COL11A1/COL5A2/COL5A1/MFAP2/CTHRC1/PTK7"	6
"GO:0022617"	"GO:0022617"	"extracellular matrix disassembly"	"4/31"	"82/18866"	9.53792955493491e-06	0.000428147060021523	0.000282791244698947	"MMP11/MMP14/MMP2/HTRA1"	4
"GO:0009612"	"GO:0009612"	"response to mechanical stimulus"	"5/31"	"209/18866"	2.13745928379882e-05	0.000905863731290596	0.000598323230542382	"COL11A1/MMP14/COL1A1/COL3A1/POSTN"	5
"GO:0031589"	"GO:0031589"	"cell-substrate adhesion"	"6/31"	"359/18866"	2.24223695864009e-05	0.000905863731290596	0.000598323230542382	"MMP14/FN1/COL1A1/COL3A1/ANTXR1/POSTN"	6
"GO:0071560"	"GO:0071560"	"cellular response to transforming growth factor beta stimulus"	"5/31"	"252/18866"	5.22688200216191e-05	0.00201110507511753	0.00132833542611333	"COL1A2/COL1A1/COL3A1/HTRA1/POSTN"	5
"GO:0043588"	"GO:0043588"	"skin development"	"6/31"	"425/18866"	5.76022385583384e-05	0.00211557312523352	0.00139733660043433	"COL1A2/COL5A2/COL1A1/COL3A1/COL5A1/INHBA"	6
"GO:0030574"	"GO:0030574"	"collagen catabolic process"	"3/31"	"47/18866"	6.2023547715185e-05	0.00217891419799432	0.00143917339549651	"MMP11/MMP14/MMP2"	3
"GO:0060346"	"GO:0060346"	"bone trabecula formation"	"2/31"	"10/18866"	0.000116626516718736	0.00388231361463572	0.00256426915401291	"COL1A1/MMP2"	2
"GO:0048562"	"GO:0048562"	"embryonic organ morphogenesis"	"5/31"	"302/18866"	0.000122779487433573	0.00388231361463572	0.00256426915401291	"COL11A1/MMP14/MFAP2/CTHRC1/PTK7"	5
