"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP3967"	"WP3967"	"miR-509-3p alteration of YAP1/ECM axis"	"6/21"	"19/7866"	4.3891832182588e-12	2.50183443440752e-10	1.43225978701077e-10	"2335/1277/1281/6678/7058/1289"	6
"WP2911"	"WP2911"	"miRNA targets in ECM and membrane receptors"	"7/21"	"43/7866"	9.60664968734186e-12	2.73789516089243e-10	1.56740073846104e-10	"1278/1290/2335/1281/7058/1289/1293"	7
"WP615"	"WP615"	"Senescence and autophagy in cancer"	"7/21"	"108/7866"	7.50642353863147e-09	1.42622047233998e-07	8.16488174377458e-08	"4323/2335/1300/1277/1281/6678/3624"	7
"WP5055"	"WP5055"	"Burn wound healing"	"6/21"	"111/7866"	3.14861385577366e-07	4.48677474447747e-06	2.56860604023641e-06	"1278/2335/1277/6678/4313/3624"	6
"WP3932"	"WP3932"	"Focal adhesion: PI3K-Akt-mTOR-signaling pathway"	"8/21"	"309/7866"	6.74325065092639e-07	7.68730574205608e-06	4.40085831955196e-06	"1301/1278/1290/2335/1277/1281/7058/1289"	8
"WP453"	"WP453"	"Inflammatory response pathway"	"4/21"	"33/7866"	1.46120441201737e-06	1.3881441914165e-05	7.94690118816465e-06	"1278/2335/1277/1281"	4
"WP129"	"WP129"	"Matrix metalloproteinases"	"3/21"	"30/7866"	6.35750507053482e-05	0.000465157730335777	0.000266295284218081	"4320/4323/4313"	3
"WP4754"	"WP4754"	"IL-18 signaling pathway"	"6/21"	"279/7866"	6.5285295485723e-05	0.000465157730335777	0.000266295284218081	"4323/1278/2335/1277/1281/4313"	6
"WP306"	"WP306"	"Focal adhesion"	"5/21"	"202/7866"	0.000154647115971683	0.000979431734487324	0.000560708841534756	"1278/1290/2335/1277/7058"	5
"WP5097"	"WP5097"	"CCL18 signaling pathway"	"3/21"	"56/7866"	0.000415108634937534	0.00236611921914395	0.00135456501926985	"1278/2335/4313"	3
"WP4172"	"WP4172"	"PI3K-Akt signaling pathway"	"5/21"	"345/7866"	0.00179328929220574	0.00929249905961155	0.00531980555582564	"1278/2335/1277/7058/1293"	5
"WP5036"	"WP5036"	"Angiotensin II receptor type 1 pathway"	"2/21"	"28/7866"	0.00246099415581873	0.0115711946586319	0.00662432196523712	"1278/1277"	2
"WP2643"	"WP2643"	"Nanoparticle-mediated activation of receptor signaling"	"2/21"	"29/7866"	0.00263904439582834	0.0115711946586319	0.00662432196523712	"2335/1277"	2
"WP4786"	"WP4786"	"Type I collagen synthesis in the context of osteogenesis imperfecta"	"2/21"	"33/7866"	0.00341006672777503	0.0138838431059412	0.00794827583165608	"1278/1277"	2
"WP5087"	"WP5087"	"Malignant pleural mesothelioma"	"5/21"	"447/7866"	0.00552268244651026	0.020986193296739	0.012014256550303	"4323/2335/6678/4313/115908"	5
"WP4239"	"WP4239"	"Epithelial to mesenchymal transition in colorectal cancer"	"3/21"	"165/7866"	0.00913150957361173	0.0325310028559918	0.0186234734724976	"2335/6678/4313"	3
"WP2324"	"WP2324"	"AGE/RAGE pathway"	"2/21"	"66/7866"	0.0131393084423445	0.0440553283066845	0.0252209635735405	"4323/4313"	2
"WP3303"	"WP3303"	"RAC1/PAK1/p38/MMP2 pathway"	"2/21"	"69/7866"	0.0143017140440704	0.0452887611395562	0.0259270839395428	"2335/4313"	2
