"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"WP4629"	"WP4629"	"Aerobic glycolysis"	"6/53"	"12/7866"	6.26387824098409e-11	8.45623562532852e-09	7.64852501004373e-09	"2597/2023/5315/3939/7167/5230"	6
"WP5049"	"WP5049"	"Glycolysis in senescence"	"5/53"	"11/7866"	5.13036360707563e-09	3.46299543477605e-07	3.13222199168828e-07	"2597/2023/5315/3939/5230"	5
"WP4290"	"WP4290"	"Metabolic reprogramming in colon cancer"	"6/53"	"44/7866"	4.05976826418577e-07	1.57286395942208e-05	1.42262939019853e-05	"2597/9123/2023/5315/3939/5230"	6
"WP534"	"WP534"	"Glycolysis and gluconeogenesis"	"6/53"	"45/7866"	4.6603376575469e-07	1.57286395942208e-05	1.42262939019853e-05	"2597/2023/5315/3939/7167/5230"	6
"WP1946"	"WP1946"	"Cori cycle"	"4/53"	"17/7866"	4.09740606800614e-06	0.000110629963836166	0.000100062969239729	"2597/3939/7167/5230"	4
"WP4018"	"WP4018"	"Clear cell renal cell carcinoma pathways"	"6/53"	"87/7866"	2.32847574248774e-05	0.000523907042059742	0.000473865238822067	"2597/2023/5315/3939/7167/5230"	6
"WP2911"	"WP2911"	"miRNA targets in ECM and membrane receptors"	"4/53"	"43/7866"	0.000186636210851982	0.00359941263785966	0.00325560909155337	"22801/1290/2335/7058"	4
"WP3967"	"WP3967"	"miR-509-3p alteration of YAP1/ECM axis"	"3/53"	"19/7866"	0.000259366025797393	0.004376801685331	0.00395874460427599	"2335/1277/7058"	3
"WP3614"	"WP3614"	"Photodynamic therapy-induced HIF-1 survival signaling"	"3/53"	"37/7866"	0.00190916961059499	0.0286375441589248	0.0259021841905285	"5315/3939/5230"	3
"WP306"	"WP306"	"Focal adhesion"	"6/53"	"202/7866"	0.00223686914745668	0.0301977334906651	0.0273133495899973	"22801/1290/2335/1277/7058/10398"	6
